text,label
"Tài khoản của bạn bị khóa, vui lòng xác minh OTP ngay để tránh gián đoạn dịch vụ",1
"Quý khách đã trúng thưởng 50 triệu đồng, bấm vào link để nhận quà",1
"Ngân hàng thông báo tài khoản của bạn có giao dịch bất thường, đăng nhập để xác thực",1
"Vui lòng gửi mã OTP ngay lập tức để hoàn tất xác minh tài khoản",1
"Đơn hàng của bạn đang bị giữ, thanh toán phí vận chuyển để nhận hàng",1
"Chúc mừng bạn đã nhận được học bổng đặc biệt, truy cập link để xác nhận",1
"Tài khoản sẽ bị khóa trong 30 phút nếu bạn không xác minh thông tin",1
"Bạn được hoàn tiền từ giao dịch trước, nhấn vào liên kết để nhận lại",1
"Chúng tôi phát hiện đăng nhập lạ, vui lòng đổi mật khẩu ngay",1
"Bạn đã được chọn làm cộng tác viên online, nạp trước 500k để kích hoạt",1
"Khẩn cấp: xác nhận OTP để mở khóa tài khoản ngân hàng của bạn",1
"Hệ thống ghi nhận bạn trúng iPhone 15, bấm link để nhận thưởng",1
"Tài khoản ví điện tử bị tạm ngưng, vui lòng xác minh số điện thoại",1
"Chuyển khoản ngay để giữ đơn hàng và tránh bị hủy",1
"Bạn đã đủ điều kiện nhận khoản vay ưu đãi, đăng ký qua đường link sau",1
"Xác thực thông tin cá nhân ngay để tiếp tục sử dụng dịch vụ",1
"Quý khách có hóa đơn chưa thanh toán, vui lòng click link để xử lý",1
"Nhấn vào link sau để xác nhận giao dịch và tránh bị khóa tài khoản",1
"Bạn có phần quà tri ân từ công ty, xác nhận ngay để nhận",1
"Chúng tôi cần bạn cung cấp mã OTP để hoàn tất hoàn tiền",1
"Thông báo từ ngân hàng: vui lòng đăng nhập lại để xác nhận thiết bị mới",1
"Bạn được chọn nhận tiền hỗ trợ, điền thông tin tại liên kết sau",1
"Gửi mã xác minh ngay để duy trì quyền truy cập tài khoản",1
"Tài khoản của quý khách sẽ bị vô hiệu hóa nếu không cập nhật ngay",1
"Bạn vừa trúng chương trình quay số may mắn, truy cập link để nhận thưởng",1
"Để nhận hàng, vui lòng thanh toán trước khoản phí hải quan",1
"Xác nhận thông tin ngay hôm nay để nhận ưu đãi đặc biệt",1
"Vui lòng nhập mật khẩu và OTP vào biểu mẫu để xác minh",1
"Bạn có khoản tiền chuyển nhầm, hãy bấm link để kiểm tra",1
"Thông báo cuối cùng: tài khoản sẽ khóa vĩnh viễn nếu không xác thực",1
"Chiều nay họp nhóm lúc 3 giờ ở thư viện nhé",0
"Mai nhớ nộp bài tập môn trí tuệ nhân tạo trước 10 giờ sáng",0
"Mẹ nhờ mua giúp ít trái cây với sữa khi về",0
"Tối nay đi ăn lẩu không, mình đặt bàn rồi",0
"Bạn gửi mình file báo cáo hôm qua nhé",0
"Ngày mai lớp nghỉ tiết đầu nên đi muộn một chút",0
"Anh đang trên đường về, em đợi anh 10 phút nhé",0
"Cuối tuần này mình về quê thăm ông bà",0
"Cho mình xin địa chỉ quán cà phê hôm trước với",0
"Hôm nay trời mưa to, nhớ mang áo mưa đi học",0
"Chiều nay có lịch đá bóng, có tham gia không",0
"Đã nhận được tiền chuyển khoản, cảm ơn bạn nhé",0
"Bạn in giúp mình tài liệu để mai thuyết trình được không",0
"Tối nay nhớ họp online lúc 8 giờ nha",0
"Em đã gửi email cho thầy rồi, anh kiểm tra giúp em với",0
"Trưa nay ăn cơm ở căn tin hay ra ngoài",0
"Bài kiểm tra tuần sau chuyển sang thứ sáu rồi",0
"Mình đến nơi rồi, bạn đang ở đâu",0
"Hôm nay em xin nghỉ vì bị sốt nhẹ",0
"Bố dặn tối nhớ gọi điện về nhà",0
"Cuộc họp với khách hàng được dời sang chiều mai",0
"Bạn cập nhật tiến độ đồ án vào nhóm giúp mình nhé",0
"Xe của mình bị hỏng, chắc đến trễ 15 phút",0
"Mai mình qua phòng bạn mượn sách nhé",0
"Đừng quên mang theo thẻ sinh viên khi vào phòng thi",0
"Mình đã đặt vé xem phim cho tối thứ bảy",0
"Nhớ gửi mình số tài khoản để chuyển lại tiền ăn",0
"Bạn kiểm tra lại slide chương 2 giúp mình",0
"Cuối tháng này nhóm mình đi Đà Lạt không",0
"Chiều nay có seminar ở hội trường A, nhớ tham dự đúng giờ",0